teacherSupportKey,teacherSupportValue,mathInterestKey,mathInterestValue,count,proportion
ST83Q01,Strongly disagree,ST29Q01,Strongly disagree,1653,0.49624737316121287
ST83Q01,Strongly disagree,ST29Q01,Disagree,821,0.24647253077154008
ST83Q01,Strongly disagree,ST29Q01,Agree,530,0.1591113779645752
ST83Q01,Strongly disagree,ST29Q01,Strongly agree,327,0.09816871810267187
ST83Q01,Strongly disagree,ST29Q03,Strongly disagree,1631,0.49230304859643825
ST83Q01,Strongly disagree,ST29Q03,Disagree,844,0.25475399939631754
ST83Q01,Strongly disagree,ST29Q03,Agree,544,0.16420162994265017
ST83Q01,Strongly disagree,ST29Q03,Strongly agree,294,0.08874132206459402
ST83Q01,Strongly disagree,ST29Q04,Strongly disagree,1518,0.4581949894355569
ST83Q01,Strongly disagree,ST29Q04,Disagree,802,0.2420766676728041
ST83Q01,Strongly disagree,ST29Q04,Agree,620,0.18714156353757924
ST83Q01,Strongly disagree,ST29Q04,Strongly agree,373,0.11258677935405977
ST83Q01,Strongly disagree,ST29Q06,Strongly disagree,1235,0.3731117824773414
ST83Q01,Strongly disagree,ST29Q06,Disagree,766,0.23141993957703927
ST83Q01,Strongly disagree,ST29Q06,Agree,864,0.2610271903323263
ST83Q01,Strongly disagree,ST29Q06,Strongly agree,445,0.13444108761329304
ST83Q01,Disagree,ST29Q01,Strongly disagree,4728,0.33014454297884227
ST83Q01,Disagree,ST29Q01,Disagree,5970,0.416870330284198
ST83Q01,Disagree,ST29Q01,Agree,2831,0.197681726136443
ST83Q01,Disagree,ST29Q01,Strongly agree,792,0.05530340060051672
ST83Q01,Disagree,ST29Q03,Strongly disagree,4221,0.2955054606552786
ST83Q01,Disagree,ST29Q03,Disagree,5934,0.41542985158218987
ST83Q01,Disagree,ST29Q03,Agree,3200,0.22402688322598713
ST83Q01,Disagree,ST29Q03,Strongly agree,929,0.06503780453654438
ST83Q01,Disagree,ST29Q04,Strongly disagree,3958,0.27744287116220384
ST83Q01,Disagree,ST29Q04,Disagree,5663,0.3969578017664377
ST83Q01,Disagree,ST29Q04,Agree,3447,0.2416234403476798
ST83Q01,Disagree,ST29Q04,Strongly agree,1198,0.08397588672367867
ST83Q01,Disagree,ST29Q06,Strongly disagree,2747,0.19260973215537794
ST83Q01,Disagree,ST29Q06,Disagree,4937,0.3461646332912635
ST83Q01,Disagree,ST29Q06,Agree,5039,0.35331650539896226
ST83Q01,Disagree,ST29Q06,Strongly agree,1539,0.1079091291543963
ST83Q01,Agree,ST29Q01,Strongly disagree,17160,0.21154628499574687
ST83Q01,Agree,ST29Q01,Disagree,35152,0.4333493595670451
ST83Q01,Agree,ST29Q01,Agree,23873,0.2943032903090598
ST83Q01,Agree,ST29Q01,Strongly agree,4932,0.06080106512814823
ST83Q01,Agree,ST29Q03,Strongly disagree,14638,0.18086118490146413
ST83Q01,Agree,ST29Q03,Disagree,34164,0.42211651325137456
ST83Q01,Agree,ST29Q03,Agree,26056,0.32193735713844446
ST83Q01,Agree,ST29Q03,Strongly agree,6077,0.07508494470871688
ST83Q01,Agree,ST29Q04,Strongly disagree,13615,0.16833372485503395
ST83Q01,Agree,ST29Q04,Disagree,32701,0.40431003573150676
ST83Q01,Agree,ST29Q04,Agree,27096,0.33501069472434813
ST83Q01,Agree,ST29Q04,Strongly agree,7469,0.09234554468911116
ST83Q01,Agree,ST29Q06,Strongly disagree,8567,0.10596034681080012
ST83Q01,Agree,ST29Q06,Disagree,25631,0.3170152502751976
ST83Q01,Agree,ST29Q06,Agree,36711,0.4540574637295766
ST83Q01,Agree,ST29Q06,Strongly agree,9942,0.12296693918442567
ST83Q01,Strongly agree,ST29Q01,Strongly disagree,10608,0.18360882734746864
ST83Q01,Strongly agree,ST29Q01,Disagree,18673,0.3232020770229338
ST83Q01,Strongly agree,ST29Q01,Agree,18636,0.32256166161834704
ST83Q01,Strongly agree,ST29Q01,Strongly agree,9858,0.17062743401125055
ST83Q01,Strongly agree,ST29Q03,Strongly disagree,8552,0.1485650753943437
ST83Q01,Strongly agree,ST29Q03,Disagree,17561,0.3050691404349941
ST83Q01,Strongly agree,ST29Q03,Agree,20297,0.35259884650128553
ST83Q01,Strongly agree,ST29Q03,Strongly agree,11154,0.1937669376693767
ST83Q01,Strongly agree,ST29Q04,Strongly disagree,8428,0.14650257266026978
ST83Q01,Strongly agree,ST29Q04,Disagree,17258,0.29999304686413575
ST83Q01,Strongly agree,ST29Q04,Agree,19323,0.33588861076345433
ST83Q01,Strongly agree,ST29Q04,Strongly agree,12519,0.21761576971214017
